type,run,trial,phase,listType,gridRows,gridCols,stimulusCount,stimulusValue1,stimulusValueType1,stimulusGridPosition1,gridCellClass1,stimulusValue2,stimulusValueType2,stimulusGridPosition2,gridCellClass2,correctResponse,probeType,listSwitch,objectSwitch,keyCount,keyCode1,response1,keyCode2,response2,keyCode3,response3,keyCode4,response4,keyCode5,response5,keyCode6,response6,keyCode7,response7,keyCode8,response8,keyCode9,response9,keyCode10,response10,keyCode11,response11,keyCode12,response12,keyCode13,response13,keyCode14,response14,keyCode15,response15,keyCode16,response16,keyCode17,response17,keyCode18,response18
1,6,3,2,2,1,2,2,+2,text,1,magentaCell,,text,2,magentaCell,4,2,0,0,18,Digit1,1,Digit2,2,Digit3,3,Digit4,4,Digit5,5,Digit6,6,Digit7,7,Digit8,8,Digit9,9,Numpad1,1,Numpad2,2,Numpad3,3,Numpad4,4,Numpad5,5,Numpad6,6,Numpad7,7,Numpad8,8,Numpad9,9
1,6,4,2,2,1,2,2,,text,1,magentaCell,+1,text,2,magentaCell,5,1,0,1,18,Digit1,1,Digit2,2,Digit3,3,Digit4,4,Digit5,5,Digit6,6,Digit7,7,Digit8,8,Digit9,9,Numpad1,1,Numpad2,2,Numpad3,3,Numpad4,4,Numpad5,5,Numpad6,6,Numpad7,7,Numpad8,8,Numpad9,9
1,6,5,2,2,1,2,2,,text,1,magentaCell,+2,text,2,magentaCell,6,2,0,0,18,Digit1,1,Digit2,2,Digit3,3,Digit4,4,Digit5,5,Digit6,6,Digit7,7,Digit8,8,Digit9,9,Numpad1,1,Numpad2,2,Numpad3,3,Numpad4,4,Numpad5,5,Numpad6,6,Numpad7,7,Numpad8,8,Numpad9,9
1,6,6,2,2,1,2,2,,text,1,magentaCell,-3,text,2,magentaCell,1,3,0,0,18,Digit1,1,Digit2,2,Digit3,3,Digit4,4,Digit5,5,Digit6,6,Digit7,7,Digit8,8,Digit9,9,Numpad1,1,Numpad2,2,Numpad3,3,Numpad4,4,Numpad5,5,Numpad6,6,Numpad7,7,Numpad8,8,Numpad9,9
1,6,7,2,2,1,2,2,,text,1,magentaCell,+5,text,2,magentaCell,9,5,0,0,18,Digit1,1,Digit2,2,Digit3,3,Digit4,4,Digit5,5,Digit6,6,Digit7,7,Digit8,8,Digit9,9,Numpad1,1,Numpad2,2,Numpad3,3,Numpad4,4,Numpad5,5,Numpad6,6,Numpad7,7,Numpad8,8,Numpad9,9
1,6,8,2,2,1,2,2,+4,text,1,magentaCell,,text,2,magentaCell,6,4,0,1,18,Digit1,1,Digit2,2,Digit3,3,Digit4,4,Digit5,5,Digit6,6,Digit7,7,Digit8,8,Digit9,9,Numpad1,1,Numpad2,2,Numpad3,3,Numpad4,4,Numpad5,5,Numpad6,6,Numpad7,7,Numpad8,8,Numpad9,9
1,6,9,2,2,1,2,2,+4,text,1,magentaCell,,text,2,magentaCell,6,4,0,0,18,Digit1,1,Digit2,2,Digit3,3,Digit4,4,Digit5,5,Digit6,6,Digit7,7,Digit8,8,Digit9,9,Numpad1,1,Numpad2,2,Numpad3,3,Numpad4,4,Numpad5,5,Numpad6,6,Numpad7,7,Numpad8,8,Numpad9,9
1,6,10,2,2,1,2,2,,text,1,magentaCell,-1,text,2,magentaCell,3,1,0,1,18,Digit1,1,Digit2,2,Digit3,3,Digit4,4,Digit5,5,Digit6,6,Digit7,7,Digit8,8,Digit9,9,Numpad1,1,Numpad2,2,Numpad3,3,Numpad4,4,Numpad5,5,Numpad6,6,Numpad7,7,Numpad8,8,Numpad9,9
1,6,11,2,2,1,2,2,+7,text,1,magentaCell,,text,2,magentaCell,9,7,0,1,18,Digit1,1,Digit2,2,Digit3,3,Digit4,4,Digit5,5,Digit6,6,Digit7,7,Digit8,8,Digit9,9,Numpad1,1,Numpad2,2,Numpad3,3,Numpad4,4,Numpad5,5,Numpad6,6,Numpad7,7,Numpad8,8,Numpad9,9
1,6,12,2,2,1,2,2,+7,text,1,magentaCell,,text,2,magentaCell,9,7,0,0,18,Digit1,1,Digit2,2,Digit3,3,Digit4,4,Digit5,5,Digit6,6,Digit7,7,Digit8,8,Digit9,9,Numpad1,1,Numpad2,2,Numpad3,3,Numpad4,4,Numpad5,5,Numpad6,6,Numpad7,7,Numpad8,8,Numpad9,9
1,6,13,2,2,1,2,2,+4,text,1,magentaCell,,text,2,magentaCell,6,4,0,0,18,Digit1,1,Digit2,2,Digit3,3,Digit4,4,Digit5,5,Digit6,6,Digit7,7,Digit8,8,Digit9,9,Numpad1,1,Numpad2,2,Numpad3,3,Numpad4,4,Numpad5,5,Numpad6,6,Numpad7,7,Numpad8,8,Numpad9,9
